                                                                            D-MEM Bus &
Cycle:      IF      |     ID      |     EX      |     MEM     |     WB      Reg Result
  227:   16:addq    |  12:addq    |   0:-       |   0:-       |   0:-       BUS_LOAD  MEM[8] accepted 1
  228:   20:addq    |  16:addq    |  12:addq    |   0:-       |   0:-       BUS_LOAD  MEM[16] accepted 1
  229:   24:addq    |  20:addq    |  16:addq    |  12:addq    |   0:-       BUS_LOAD  MEM[16] accepted 1
  230:   28:addq    |  24:addq    |  20:addq    |  16:addq    |  12:addq    r5=28  BUS_LOAD  MEM[24] accepted 1
  231:   32:addq    |  28:addq    |  24:addq    |  20:addq    |  16:addq    r8=28  BUS_LOAD  MEM[24] accepted 1
  232:   36:addq    |  32:addq    |  28:addq    |  24:addq    |  20:addq    r7=28  BUS_LOAD  MEM[32] accepted 1
  233:   40:stq     |  36:addq    |  32:addq    |  28:addq    |  24:addq    r4=28  BUS_LOAD  MEM[32] accepted 1
  234:   44:addq    |  40:stq     |  36:addq    |  32:addq    |  28:addq    r6=56  BUS_LOAD  MEM[40] accepted 1
  235:   48:addq    |  44:addq    |  40:stq     |  36:addq    |  32:addq    r9=56  BUS_LOAD  MEM[40] accepted 1
  236:    0:-       |  48:addq    |  44:addq    |  40:stq     |  36:addq    r10=112  BUS_STORE MEM[4208] = 112 accepted 1
  237:   52:cmple   |   0:-       |  48:addq    |  44:addq    |  40:stq     BUS_LOAD  MEM[48] accepted 1
  238:   56:bne     |  52:cmple   |   0:-       |  48:addq    |  44:addq    r3=4216  BUS_LOAD  MEM[48] accepted 1
  239:   60:halt    |  56:bne     |  52:cmple   |   0:-       |  48:addq    r2=15  BUS_LOAD  MEM[56] accepted 1
  240:   64:call_pal|  60:halt    |  56:bne     |  52:cmple   |   0:-       BUS_LOAD  MEM[56] accepted 1
  241:   68:call_pal|  64:call_pal|  60:halt    |  56:bne     |  52:cmple   r1=1  BUS_LOAD  MEM[64] accepted 1
  242:   12:addq    |   0:-       |   0:-       |   0:-       |  56:bne     BUS_LOAD  MEM[8] accepted 1
  243:   16:addq    |  12:addq    |   0:-       |   0:-       |   0:-       BUS_LOAD  MEM[8] accepted 1
  244:   20:addq    |  16:addq    |  12:addq    |   0:-       |   0:-       BUS_LOAD  MEM[16] accepted 1
  245:   24:addq    |  20:addq    |  16:addq    |  12:addq    |   0:-       BUS_LOAD  MEM[16] accepted 1
  246:   28:addq    |  24:addq    |  20:addq    |  16:addq    |  12:addq    r5=30  BUS_LOAD  MEM[24] accepted 1
  247:   32:addq    |  28:addq    |  24:addq    |  20:addq    |  16:addq    r8=30  BUS_LOAD  MEM[24] accepted 1
  248:   36:addq    |  32:addq    |  28:addq    |  24:addq    |  20:addq    r7=30  BUS_LOAD  MEM[32] accepted 1
  249:   40:stq     |  36:addq    |  32:addq    |  28:addq    |  24:addq    r4=30  BUS_LOAD  MEM[32] accepted 1
  250:   44:addq    |  40:stq     |  36:addq    |  32:addq    |  28:addq    r6=60  BUS_LOAD  MEM[40] accepted 1
  251:   48:addq    |  44:addq    |  40:stq     |  36:addq    |  32:addq    r9=60  BUS_LOAD  MEM[40] accepted 1
  252:    0:-       |  48:addq    |  44:addq    |  40:stq     |  36:addq    r10=120  BUS_STORE MEM[4216] = 120 accepted 1
  253:   52:cmple   |   0:-       |  48:addq    |  44:addq    |  40:stq     BUS_LOAD  MEM[48] accepted 1
  254:   56:bne     |  52:cmple   |   0:-       |  48:addq    |  44:addq    r3=4224  BUS_LOAD  MEM[48] accepted 1
  255:   60:halt    |  56:bne     |  52:cmple   |   0:-       |  48:addq    r2=16  BUS_LOAD  MEM[56] accepted 1
  256:   64:call_pal|  60:halt    |  56:bne     |  52:cmple   |   0:-       BUS_LOAD  MEM[56] accepted 1
  257:   68:call_pal|  64:call_pal|  60:halt    |  56:bne     |  52:cmple   r1=0  BUS_LOAD  MEM[64] accepted 1
  258:   72:call_pal|  68:call_pal|  64:-       |  60:halt    |  56:bne     BUS_LOAD  MEM[64] accepted 1
  259:   76:call_pal|  72:call_pal|  68:-       |  64:-       |  60:halt    BUS_LOAD  MEM[72] accepted 1
